Restaurant_Name,Cuisine
Jalsa,Chinese
Jalsa,Mughlai
Jalsa,"North Indian"
"Spice Elephant",Thai
"Spice Elephant","North Indian"
"Spice Elephant",Chinese
"San Churro Cafe",Italian
"San Churro Cafe",Mexican
"San Churro Cafe",Cafe
"Addhuri Udupi Bhojana","North Indian"
"Addhuri Udupi Bhojana","South Indian"
"Grand Village",Rajasthani
"Grand Village","North Indian"
"Timepass Dinner","North Indian"
"Rosewood International Hotel - Bar & Restaurant",Chinese
"Rosewood International Hotel - Bar & Restaurant",Andhra
"Rosewood International Hotel - Bar & Restaurant","South Indian"
"Rosewood International Hotel - Bar & Restaurant","North Indian"
Onesta,Italian
Onesta,Cafe
Onesta,Pizza
"Penthouse Cafe",Continental
"Penthouse Cafe",Italian
"Penthouse Cafe",Cafe
Smacznego,Beverages
Smacznego,Momos
Smacznego,Italian
Smacznego,Mexican
Smacznego,Cafe
"CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley",Cafe
"Cafe Shuffle",Continental
"Cafe Shuffle",Italian
"Cafe Shuffle",Cafe
"The Coffee Shack",Italian
"The Coffee Shack",Continental
"The Coffee Shack",Chinese
"The Coffee Shack",Cafe
Caf-Eleven,Continental
Caf-Eleven,Cafe
"San Churro Cafe",Italian
"San Churro Cafe",Mexican
"San Churro Cafe",Cafe
"Cafe Vivacity",Cafe
Catch-up-ino,Momos
Catch-up-ino,Chinese
Catch-up-ino,Continental
Catch-up-ino,"Fast Food"
Catch-up-ino,Cafe
"Kirthi's Biryani",Italian
"Kirthi's Biryani",Cafe
"Kirthi's Biryani",Chinese
"T3H Cafe",American
"T3H Cafe",Italian
"T3H Cafe",Cafe
"360 Atoms Restaurant And Cafe",Italian
"360 Atoms Restaurant And Cafe",Continental
"360 Atoms Restaurant And Cafe",Chinese
"360 Atoms Restaurant And Cafe",Cafe
"The Vintage Cafe","North Indian"
"The Vintage Cafe",French
"The Vintage Cafe",Cafe
"Woodee Pizza",Beverages
"Woodee Pizza","Fast Food"
"Woodee Pizza",Pizza
"Woodee Pizza",Cafe
"Cafe Coffee Day","Fast Food"
"Cafe Coffee Day",Cafe
"My Tea House",European
"My Tea House",Cafe
"My Tea House","Fast Food"
"My Tea House",Italian
"Hide Out Cafe",Cafe
"CAFE NOVA",Bakery
"CAFE NOVA",Cafe
"Coffee Tindi","South Indian"
"Coffee Tindi",Cafe
"Sea Green Cafe",Beverages
"Sea Green Cafe","Fast Food"
"Sea Green Cafe",Cafe
Cuppa,"Fast Food"
Cuppa,Cafe
"Srinathji's Cafe","Fast Food"
"Srinathji's Cafe",Chinese
"Srinathji's Cafe",Cafe
"Srinathji's Cafe","North Indian"
Redberrys,Italian
Redberrys,Cafe
Foodiction,Burger
Foodiction,Chinese
Foodiction,"Fast Food"
Foodiction,"North Indian"
"Sweet Truth",Desserts
"Sweet Truth",Bakery
"Ovenstory Pizza",Pizza
Faasos,"Fast Food"
Faasos,Biryani
Faasos,"North Indian"
"Behrouz Biryani",Biryani
"Fast And Fresh","Fast Food"
"Fast And Fresh",Chinese
"Fast And Fresh","North Indian"
"Szechuan Dragon",Momos
"Szechuan Dragon",Thai
"Szechuan Dragon",Chinese
"Empire Restaurant",Chinese
"Empire Restaurant","South Indian"
"Empire Restaurant",Mughlai
"Empire Restaurant","North Indian"
"Maruthi Davangere Benne Dosa","South Indian"
Chaatimes,"Fast Food"
Chaatimes,"Street Food"
"Havyaka Mess","South Indian"
McDonald's,"Fast Food"
McDonald's,Burger
"Domino's Pizza","Fast Food"
"Domino's Pizza",Pizza
Onesta,Italian
Onesta,Cafe
Onesta,Pizza
Hotboxit,Italian
Hotboxit,Continental
Hotboxit,"North Indian"
"Kitchen Garden",Chinese
"Kitchen Garden","North Indian"
Recipe,Rolls
Recipe,Biryani
Recipe,Chinese
Recipe,"North Indian"
"Beijing Bites",Thai
"Beijing Bites",Chinese
"Tasty Bytes",Rolls
"Tasty Bytes",Momos
"Tasty Bytes",Chinese
"Tasty Bytes","North Indian"
Petoo,"North Indian"
"Shree Cool Point",Beverages
"Shree Cool Point","Street Food"
"Shree Cool Point","Fast Food"
"Corner House Ice Cream",Desserts
"Corner House Ice Cream","Ice Cream"
"Biryanis And More","South Indian"
"Biryanis And More",Andhra
"Biryanis And More",Chinese
"Biryanis And More","North Indian"
"Biryanis And More",Biryani
"Roving Feast",Momos
"Roving Feast",Chinese
"Roving Feast","Fast Food"
"Roving Feast",Continental
"Roving Feast",Italian
FreshMenu,Burger
FreshMenu,American
FreshMenu,Salad
FreshMenu,Continental
FreshMenu,"North Indian"
FreshMenu,Biryani
FreshMenu,Chinese
FreshMenu,"Healthy Food"
