Restaurant_Name,Avg_Rating,Total_Votes,Avg_Cost_For_Two,Online_Order,Book_Table,Location,Rest_Type,Cuisines
Jalsa,4.12,11390,927,Yes,Yes,Banashankari,"Casual Dining","North Indian, Mughlai"
"Spice Elephant",4.1,3148,800,Yes,No,Banashankari,"Casual Dining","Chinese, North Indian, Thai"
"San Churro Cafe",3.8,10104,800,Yes,No,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian"
"Addhuri Udupi Bhojana",3.7,176,300,No,No,Banashankari,"Quick Bites","South Indian, North Indian"
"Grand Village",3.8,664,600,No,No,Basavanagudi,"Casual Dining","North Indian, Rajasthani"
"Timepass Dinner",3.8,2007,600,Yes,No,Basavanagudi,"Casual Dining","North Indian"
"Rosewood International Hotel - Bar & Restaurant",3.6,24,800,No,No,"Mysore Road","Casual Dining","North Indian, South Indian, Andhra, Chinese"
Onesta,4.41,347520,600,Yes,Yes,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian"
"Penthouse Cafe",4,2272,700,Yes,No,Banashankari,Cafe,"Cafe, Italian, Continental"
Smacznego,4.2,3529,550,Yes,No,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages"
"CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley",4.1,1206,500,Yes,No,Banashankari,Cafe,Cafe
"Cafe Shuffle",4.14,1360,600,Yes,Yes,Banashankari,Cafe,"Cafe, Italian, Continental"
"The Coffee Shack",4.2,492,500,Yes,Yes,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian"
Caf-Eleven,4,848,450,No,No,Banashankari,Cafe,"Cafe, Continental"
"Cafe Vivacity",3.8,901,650,Yes,No,Banashankari,Cafe,Cafe
Catch-up-ino,3.9,532,800,Yes,No,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos"
"Kirthi's Biryani",3.8,1878,700,Yes,No,Banashankari,Cafe,"Chinese, Cafe, Italian"
"T3H Cafe",3.9,186,300,No,No,Banashankari,Cafe,"Cafe, Italian, American"
"360 Atoms Restaurant And Cafe",3.1,91,400,Yes,No,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian"
"The Vintage Cafe",3,186,400,Yes,No,Banashankari,Cafe,"Cafe, French, North Indian"
"Woodee Pizza",2.85,1295,500,Yes,No,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages"
"Cafe Coffee Day",3.3,3089,845,Yes,No,Banashankari,Cafe,Cafe
"My Tea House",3.68,186,650,Yes,Yes,Banashankari,"Casual Dining","Continental, Asian"
"Hide Out Cafe",3.7,62,300,No,No,Banashankari,Cafe,Cafe
"CAFE NOVA",3.2,44,600,No,No,Banashankari,Cafe,"Cafe, Bakery"
"Coffee Tindi",3.8,600,200,Yes,No,Banashankari,"Cafe, Quick Bites","Cafe, South Indian"
"Sea Green Cafe",3.3,16,500,No,No,Banashankari,Cafe,"Cafe, Fast Food, Beverages"
Cuppa,3.34,998,542,Yes,No,Banashankari,Cafe,Cafe
"Srinathji's Cafe",3.8,888,550,No,No,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food"
Redberrys,4,1971,600,Yes,No,Basavanagudi,Cafe,"Cafe, Italian"
Foodiction,3.46,1120,500,Yes,No,Banashankari,Delivery,"Continental, Fast Food, Chinese, Burger"
"Sweet Truth",3.94,2115,500,Yes,No,Banashankari,Bakery,"Bakery, Desserts"
"Ovenstory Pizza",3.96,4206,767,Yes,No,Banashankari,Delivery,Pizza
Faasos,3.93,14214,500,Yes,No,Banashankari,Delivery,"North Indian, Biryani, Fast Food"
"Behrouz Biryani",4,6515,650,Yes,No,Banashankari,Delivery,Biryani
"Fast And Fresh",2.8,182,400,Yes,No,Banashankari,"Quick Bites","North Indian, Chinese, Fast Food"
"Szechuan Dragon",4.06,9153,600,Yes,No,Banashankari,"Casual Dining","Chinese, Thai, Momos"
"Empire Restaurant",4.02,229808,685,Yes,No,"Bannerghatta Road","Casual Dining","Biryani, Kerala, Mughlai, Arabian, North Indian, Juices"
"Maruthi Davangere Benne Dosa",4,51,150,Yes,No,Banashankari,"Quick Bites","South Indian"
Chaatimes,3.78,1897,212,Yes,No,"Bannerghatta Road","Quick Bites","Street Food, Fast Food"
"Havyaka Mess",3.9,56,300,No,No,Banashankari,Mess,"South Indian"
McDonald's,3.56,14751,500,Yes,No,Banashankari,"Quick Bites","Burger, Fast Food"
"Domino's Pizza",3.56,18166,493,Yes,No,Banashankari,"Quick Bites","Pizza, Fast Food"
Hotboxit,3.8,72,400,No,No,Banashankari,Delivery,"North Indian, Continental, Italian"
"Kitchen Garden",3.6,491,300,Yes,No,"Kumaraswamy Layout","Quick Bites","North Indian, Chinese"
Recipe,4,2420,483,Yes,No,"Kumaraswamy Layout","Casual Dining","North Indian, Chinese, Biryani"
"Beijing Bites",3.64,14984,755,Yes,Yes,Banashankari,"Casual Dining","Chinese, Thai"
"Tasty Bytes",3.1,735,300,Yes,No,"Kumaraswamy Layout","Quick Bites","North Indian, Chinese, Momos, Rolls"
Petoo,3.82,4242,660,Yes,No,Banashankari,"Casual Dining","Biryani, North Indian, Andhra"
"Shree Cool Point",4.1,59,150,Yes,No,"Vijay Nagar","Quick Bites","Fast Food, Street Food, Beverages"
"Corner House Ice Cream",4.47,34027,400,Yes,No,Banashankari,"Dessert Parlor","Ice Cream, Desserts"
"Biryanis And More",3.79,2644,750,Yes,No,Jayanagar,"Casual Dining","Biryani, North Indian, Chinese, Andhra, South Indian"
"Roving Feast",4,6286,450,No,No,Banashankari,"Quick Bites","Italian, Continental, Fast Food, Chinese, Momos"
FreshMenu,3.61,15138,450,Yes,No,Banashankari,Delivery,"Asian, Continental, Mediterranean, Salad, American, Biryani"
"Banashankari Donne Biriyani",3.44,456,300,Yes,No,Banashankari,"Quick Bites","Biryani, Fast Food"
Wamama,4.2,2134,800,Yes,Yes,Banashankari,"Casual Dining","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos"
"Five Star Chicken",3.43,3134,258,Yes,No,Banashankari,"Quick Bites","Burger, Fast Food, Roast Chicken, Finger Food"
"XO Belgian Waffle",4.25,11641,416,Yes,No,Banashankari,"Dessert Parlor",Desserts
"Peppy Peppers",4.12,1497,800,No,No,Banashankari,"Casual Dining","Italian, North Indian, Mexican"
"Goa 0 Km",3.6,327,800,Yes,Yes,"Kumaraswamy Layout","Casual Dining","Goan, Seafood, North Indian, Chinese, Biryani"
"Chinese Kitchen",3.77,291,221,Yes,No,Basavanagudi,"Quick Bites",Chinese
1947,4.02,20590,946,No,Yes,Banashankari,"Casual Dining","North Indian, Chinese"
"Cake of the Day",3.49,348,169,No,No,Banashankari,Bakery,Bakery
"Kabab Magic",3.68,22787,479,Yes,No,"Bannerghatta Road","Casual Dining","North Indian, Kebab, Chinese, Fast Food"
